epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,3978.05,0.99854,1.04447,1.31433,0.86302,0.7834,0.85124,0.68191,0.84878,0.72399,1.21279,0.0057925,0.0057925,0.0057925
19,4198.8,0.99928,1.02137,1.31374,0.87457,0.80062,0.86424,0.69051,0.83105,0.69435,1.19519,0.005545,0.005545,0.005545
20,4419.95,0.97673,0.99613,1.29691,0.88941,0.78283,0.86562,0.69259,0.84048,0.69656,1.19628,0.0052975,0.0052975,0.0052975
21,4639.73,0.96802,0.96456,1.29255,0.88659,0.81751,0.87836,0.7128,0.80255,0.64345,1.1691,0.00505,0.00505,0.00505
22,4859.74,0.94578,0.9415,1.27701,0.90177,0.81653,0.88156,0.71109,0.79781,0.63378,1.15637,0.0048025,0.0048025,0.0048025
23,5080.16,0.94485,0.9345,1.27203,0.89449,0.82971,0.88447,0.72762,0.76888,0.61883,1.136,0.004555,0.004555,0.004555
24,5299.65,0.92566,0.90177,1.25783,0.90946,0.82601,0.88444,0.72754,0.76022,0.60352,1.13362,0.0043075,0.0043075,0.0043075
25,5519.39,0.91182,0.88926,1.24964,0.90067,0.84016,0.89041,0.73569,0.74588,0.58119,1.12251,0.00406,0.00406,0.00406
26,5739.32,0.90956,0.88057,1.24565,0.90158,0.84316,0.89006,0.73929,0.7392,0.56592,1.11562,0.0038125,0.0038125,0.0038125
27,5959.19,0.8928,0.85592,1.23966,0.93583,0.83421,0.89471,0.74851,0.71435,0.54303,1.09875,0.003565,0.003565,0.003565
28,6179.11,0.86946,0.83348,1.22588,0.92602,0.83846,0.89578,0.75099,0.71381,0.54085,1.10206,0.0033175,0.0033175,0.0033175
29,6398.93,0.86657,0.82439,1.22489,0.92905,0.84994,0.89968,0.75741,0.70328,0.52265,1.09118,0.00307,0.00307,0.00307
30,6618.79,0.86437,0.81906,1.21962,0.92836,0.85284,0.89971,0.76109,0.69244,0.51922,1.08144,0.0028225,0.0028225,0.0028225
31,6838.61,0.77694,0.63682,1.16812,0.92588,0.85764,0.90297,0.76964,0.67065,0.49698,1.07073,0.002575,0.002575,0.002575
32,7057.42,0.75373,0.60598,1.14837,0.93856,0.86262,0.90619,0.77724,0.65312,0.48668,1.05882,0.0023275,0.0023275,0.0023275
33,7276.26,0.73559,0.59012,1.13547,0.93993,0.86087,0.90591,0.78175,0.64491,0.47636,1.05028,0.00208,0.00208,0.00208
34,7494.81,0.71882,0.56673,1.12217,0.94789,0.86662,0.90788,0.78383,0.63863,0.46362,1.04896,0.0018325,0.0018325,0.0018325
35,7713.85,0.70038,0.55257,1.11259,0.9426,0.86495,0.90803,0.79051,0.62307,0.45344,1.03865,0.001585,0.001585,0.001585
36,7932.65,0.6873,0.53548,1.10463,0.94584,0.86919,0.91075,0.79377,0.61567,0.44777,1.03297,0.0013375,0.0013375,0.0013375
37,8151.28,0.68248,0.52832,1.09833,0.9453,0.87215,0.91253,0.79662,0.60653,0.44067,1.02788,0.00109,0.00109,0.00109
38,8369.72,0.66882,0.5179,1.09542,0.94232,0.87514,0.91145,0.79805,0.60358,0.43999,1.02389,0.0008425,0.0008425,0.0008425
39,8588.76,0.65914,0.5041,1.08399,0.94328,0.87562,0.91207,0.79951,0.60123,0.43685,1.02135,0.000595,0.000595,0.000595
40,8807.3,0.64698,0.49189,1.07776,0.95149,0.87455,0.9128,0.79967,0.59689,0.43309,1.01715,0.0003475,0.0003475,0.0003475
